subject,grade_level,cycle,strand_num,ilo_code,description
Science and Technology,Standard 2,1,4,SC 4.04,"Demonstrate how the human ear detects sound and distinguish between the major components of the outer, middle and inner ear. Introduction to Digital"
Science and Technology,Standard 2,1,5,SC 5.01,"Interact with and explore a range of digital equipment such as cameras, microphones, microscopes, laptops."
Science and Technology,Standard 2,1,5,SC 5.02,"Describe how to position the body, adjust lighting, position equipment and when to take breaks when using digital devices."
Science and Technology,Standard 2,1,5,SC 5.03,"Operate a variety of digital tools such as open/close, save, print, navigate, use input and output devices, log on and log off, and unplugging."
Science and Technology,Standard 2,1,5,SC 5.04,"Identify, locate and use letters, numbers and special keys on keyboard such as space bar, shift and delete."
Science and Technology,Standard 3,1,4,SC 4.08,"Demonstrate how heat can be transmitted through solids, liquids, and gases using conduction, convection, radiation."
Science and Technology,Standard 3,1,4,SC 4.09,Identify and investigate materials that are good heat insulators and good heat conductors and describe some uses of these materials. Online Safety/Surfing the Web
Science and Technology,Standard 3,1,5,SC 5.05,"Identify the differences and Similarities between private and personal information and discuss why keeping personal information such as name, location, phone number and home addresses are considered private."
Science and Technology,Standard 3,1,5,SC 5.06,"Discuss and explain the importance of password, passcode, and face Identification as a form of protection for private information."
Science and Technology,Standard 3,1,5,SC 5.07,"Explain that devices Such as computers, laptops and tablets can save"
Science and Technology,Standard 3,1,6,SC 6.04,Diagram typical growth cycles of local animals.
Science and Technology,Standard 3,1,6,SC 6.05,Show how a variety of local animals require different habitats during their growth cycle and discuss how habitats provide animals with their basic needs.
Science and Technology,Standard 4,1,4,SC 4.10,"Define matter and explain the properties of solids, liquids, and gases based on the particle nature of matter."
Science and Technology,Standard 4,1,4,SC 4.11,"Identify solutes and solvents in common solid, liquid, and gaseous solutions and discuss and differentiate between pure substances, mixtures, elements, and compounds by using the particle theory of matter."
Science and Technology,Standard 4,1,4,SC 4.12,"Demonstrate different methods such as filtration, distillation and chromatography to separate the components of both solutions and mixtures. (Netiquette)"
Science and Technology,Standard 4,1,5,SC 5.08,Explain proper online etiquette.
Science and Technology,Standard 4,1,5,SC 5.09,"Identify different forms of bullying, including cyberbullying and suggest strategies for dealing with it such as screenshot, saving evidence, block, not replying, report."
Science and Technology,Standard 4,1,5,SC 5.10,"Identify and discuss online identity theft and security symbols such as padlock, phishing, scam websites."
Science and Technology,Standard 5,1,4,SC 4.15,"Demonstrate and explain that light is a form of energy, that travels in a straight line, and can be separated into the visible light spectrum. SC. 4.16 Conduct experiment to explore the differences between reflection and refraction of light and describe how reflected and refracted images formed."
Science and Technology,Standard 5,1,4,SC 4.17,Explain how the human eye detects images and compare the basic functional operation such as eye lids to shutter and lens to retina of the human eye to that of a camera in focussing an image. Ethical Use of Digital Resources
Science and Technology,Standard 5,1,5,SC 5.11,"Define good digital citizenship as using technology safely, responsibly, and ethically."
Science and Technology,Standard 5,1,5,SC 5.12,Discuss that copying the work of others and presenting it as own is called plagiarism.
Science and Technology,Standard 6,1,4,SC 4.22,Analyze the immediate and long- term effects that extraction and uses of natural resources for energy production has on society and the environment and make recommendations for minimizing the effects now and in the future. Relationships and Communications
Science and Technology,Standard 6,1,5,SC 5.13,"Identify and describe how students, teachers, parents, and other workers use many types of technologies in their daily work and personal lives."
Science and Technology,Standard 6,1,5,SC 5.14,"Explain the similarities and differences between offline and online communications, including rules to follow when communicating face-to face and online and discuss how online communication can be misinterpreted."
Science and Technology,Standard 6,1,5,SC 5.15,"List and explain the advantages of communicating electronically including time and resource saving, cost effectiveness, accessibility to multiple"
Science and Technology,Standard 6,1,6,SC 6.19,Investigate how selected plants have adapted in ways that enable them to survive in their ecosystem.
Science and Technology,Standard 6,1,6,SC 6.20,Explore diversity of plants in different ecosystems in Belize.
