subject,grade_level,cycle,strand_num,ilo_code,description
Physical Education,Infant 1,1,1,PE 1.1,List and explain the rules for staying safe in a Physical Education class.
Physical Education,Infant 1,1,1,PE 1.2,"Move from place to place, forwards, sideways and backwards, by rolling, galloping, skipping, sliding, and leaping."
Physical Education,Infant 1,1,1,PE 1.3,"Make and demonstrate different shapes with the body that are wide, narrow, curled and twisted at low, mid and high levels."
Physical Education,Infant 1,1,1,PE 1.4,"Participate in a variety of movement patterns, while changing directions in response to a whistle or similar signal."
Physical Education,Infant 1,4,2,PE 2.1,Demonstrate passing and receiving techniques using the instep or side of the foot.
Physical Education,Infant 1,4,2,PE 2.2,"Perform a variety of dribbling drills around cones, marks on the ground or other safe obstacles."
Physical Education,Infant 1,4,2,PE 2.3,"Perform exercises on the spot such as arm curls, leg lifts and jumping up and down."
Physical Education,Infant 1,4,2,PE 2.4,Control a moving ball with the feet while changing directions.
Physical Education,Infant 1,4,2,PE 2.5,Participate in relay races with simple rules using a football.
Physical Education,Infant 2,1,1,PE 1.5,"Perform a variety of twisting, stretching and other on the spot exercises."
Physical Education,Infant 2,1,1,PE 1.6,Execute a single jump rope with self-turned rope forward with single bounce and backward with single bounce.
Physical Education,Infant 2,4,2,PE 2.6,Kick a ball safely with the instep or side of the foot towards a partner or other target.
Physical Education,Infant 2,4,2,PE 2.7,"Change direction in a quick, controlled manner while playing dodging and chasing games."
Physical Education,Standard 1,1,1,PE 1.9,"Jump a short rope non-stop for at least 10 seconds, turning the rope both forwards and backwards."
Physical Education,Standard 1,1,1,PE 1.10,Skip using an individual short rope and a long rope turned by partners.
Physical Education,Standard 1,1,1,PE 1.11,"Demonstrate simple flexibility exercises, for example, stretching arms and legs as high and wide as possible in various directions and at various heights and by twisting and turning the body."
Physical Education,Standard 1,1,1,PE 1.12,"Move individually in general space, changing direction and speed, without interfering with other people while walking, hopping, running, or rolling on the floor."
Physical Education,Standard 1,4,2,PE 2.11,"Demonstrate the proper way of taking a throw in, corner kick and goal kick."
